1,1.105
1,1.131
1,1.144
1,1.114
1,1.108
6,1.551
6,1.542
6,1.514
6,1.548
6,1.539
11,1.775
11,1.777
11,1.883
11,1.840
11,1.849
16,2.079
16,2.133
16,2.082
16,1.985
16,2.010
21,2.320
21,2.455
21,2.299
21,2.322
21,2.316
26,2.475
26,2.434
26,2.516
26,2.480
26,2.475
31,2.700
31,2.688
31,2.710
31,2.814
31,2.935
36,2.911
36,2.950
36,2.907
36,2.917
36,2.845
41,3.151
41,2.897
41,3.067
41,2.970
41,3.060
46,3.100
46,3.139
46,3.135
46,3.157
46,3.004
51,3.161
51,3.165
51,3.295
51,3.554
51,3.163
56,3.749
56,3.628
56,3.444
56,3.399
56,3.521
61,3.670
61,3.648
61,3.517
61,3.647
61,3.544
66,3.720
66,3.774
66,3.732
66,3.630
66,3.619
71,4.027
71,4.151
71,3.884
71,3.817
71,4.029
76,4.094
76,4.203
76,4.305
76,4.292
76,4.206
81,4.355
81,4.264
81,4.603
81,4.292
81,4.158
86,4.582
86,4.878
86,4.547
86,4.695
86,4.650
91,4.733
91,4.712
91,4.678
91,4.710
91,5.031
96,5.297
96,6.262
96,5.434
96,5.745
96,5.063
